[29-May-2008 18:30:34] PHP Warning:  Missing argument 1 for planetfeld::__construct(), called in /www/htdocs/w0066545/game/best.php on line 25 and defined in /www/htdocs/w0066545/game/connect.php on line 346
[29-May-2008 18:30:34] PHP Fatal error:  Call to undefined method planetfeld::getData() in /www/htdocs/w0066545/game/best.php on line 25
[29-May-2008 18:30:39] PHP Warning:  Missing argument 1 for planetfeld::__construct(), called in /www/htdocs/w0066545/game/best.php on line 25 and defined in /www/htdocs/w0066545/game/connect.php on line 346
[29-May-2008 18:30:39] PHP Fatal error:  Call to undefined method planetfeld::getData() in /www/htdocs/w0066545/game/best.php on line 25
[29-May-2008 18:32:39] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 18:32:44] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 18:32:46] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 18:32:49] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 18:32:57] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 18:33:03] PHP Warning:  Missing argument 1 for planetfeld::__construct(), called in /www/htdocs/w0066545/game/best.php on line 25 and defined in /www/htdocs/w0066545/game/connect.php on line 346
[29-May-2008 18:33:03] PHP Fatal error:  Call to undefined method planetfeld::getData() in /www/htdocs/w0066545/game/best.php on line 25
[29-May-2008 18:33:49] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 18:33:56] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 18:34:00] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 18:34:09] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 18:34:10] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
[29-May-2008 18:37:07] PHP Fatal error:  Class 'schiffgeneral' not found in /www/htdocs/w0066545/game/flotte.php on line 290
[29-May-2008 18:37:11] PHP Fatal error:  Class 'schiffgeneral' not found in /www/htdocs/w0066545/game/flotte.php on line 290
[29-May-2008 18:37:16] PHP Fatal error:  Class 'schiffgeneral' not found in /www/htdocs/w0066545/game/flotte.php on line 290
[29-May-2008 18:41:15] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/build.php on line 37
